phi_s,phi_t,L,A,sigma_v,Qm
33,38,24.5,0.131,255,2615
34,37.5,19.8,0.223,206,3674
33,38,21.5,0.131,223,2164
33,37.5,20.2,0.1468,210,3042
33,37,19.9,0.1821,206,2856
38,41,11.6,0.209,138,3558
38,40,13.7,0.209,164,3292
38,40,16.5,0.209,196,3923
35,37,16.2,0.105,158,1637
35,37,16.1,0.1644,158,2233
35,36.5,16.2,0.2109,158,2295
36.5,36.5,12.3,0.1654,120,1779
34,38,47.2,0.2917,475,5604
34,34,3,0.1644,38,712
35,35,6.1,0.1644,72,1735
35,35,8.9,0.1644,100,2491
36,36,12,0.1644,131,3158
36,36,15,0.1644,161,3825
35.5,36,15.2,0.1301,163,2695
34,38,11.3,0.0316,146,1429
35.5,35.5,9.1,0.0864,89,658
35.5,35.5,12.2,0.0864,119,882
35.5,35.5,15.2,0.0864,148,1014
35.5,35.5,18.3,0.0864,178,1281
35.5,35.5,9.1,0.0799,89,655
35.5,35.5,12.2,0.0799,119,894
35.5,35.5,15.2,0.0799,148,1113
35.5,35.5,18.3,0.0799,178,1281
31,31,16,0.0613,134,480
31,31,16,0.0316,134,519
33,33,12.2,0.0061,111,75
39,39.5,7,0.0999,75,2439
39,39.5,6.7,0.0999,72,3000
39,39.5,5.2,0.0999,56,1950
32,34,21,0.2313,198,3200
37.5,40,29.9,0.3075,301,4733
37.5,39.5,25.6,0.3075,258,4021
33,35,18,0.6568,169,5000
28,39,16.8,0.1431,213,4670
34,35,12.2,0.1143,111,854
32,35,23.3,0.1486,241,1628
34,35,9.1,0.1291,92,685
32,37,17.5,0.3855,176,3069
35,37,23.8,0.0729,246,1913
35,37,17.7,0.0729,183,2313
35,37,25.3,0.0729,260,1254
39,39.5,5.2,0.0999,56,1948
33,35.5,34.1,0.0325,343,1761
34,36,31.7,0.0325,319,2180
33,33,29.3,0.0557,335,3203
33,34,31.1,0.0557,354,3211
36,37,21.3,0.0409,215,1779
36,37,20.7,0.0827,209,1868
35,35,24.1,0.066,242,1779
36,37,20.7,0.0929,209,1913
35,35,16.5,0.0613,166,2100
35,35,17.7,0.0827,178,1509
35.5,37,21.9,0.066,228,922
35,35,17.7,0.0929,178,1779
